text_after_cleaning,text,tweet_id,clean_tweets
ngphakamisa amehlo aphi ngibheka phezelu lapo usizo lwami luvela khona,Ngphakamisa amehlo aphi ngibheka phezelu lapo usizo lwami luvela khona🙏🏻 https://t.co/jaSQ4fAhgv,tweet_1415334823951020034,ngphakamisa amehlo aphi ngibheka phezelu lapo usizo lwami luvela khona🙏🏻
bekuzokonakala suuuure what a curse cela nikhulume nogod guys ngathi akangizwa mina,@Spha_Dlamini 😭😭😭 Bekuzokonakala SUUUURE!!!! What a curse. Cela nikhulume noGod guys ngathi akangizwa mina,tweet_1286690729700589568,😭😭😭 bekuzokonakala suuuure what a curse cela nikhulume nogod guys ngathi akangizwa mina
baleka ngezinyawo zombili kodwa kè ninenkani nina bantu besifazane nifuna ukukhala kuqala mase niyazibonela,Baleka ngezinyawo zombili 🤞🏼 Kodwa kè ninenkani nina bantu besifazane nifuna ukukhala kuqala mase niyazibonela 😏 https://t.co/rzgTAh6WjC,tweet_1522889180745019393,baleka ngezinyawo zombili 🤞🏼 kodwa kè ninenkani nina bantu besifazane nifuna ukukhala kuqala mase niyazibonela 😏
mhla ngabona noma ngezwa izigemegeme zakho kuyozifikela khona,"Mhla ngabona noma ngezwa izigemegeme zakho, kuyozifikela khona. 😂 https://t.co/ltO0icisFl",tweet_1393520301003223044,mhla ngabona noma ngezwa izigemegeme zakho kuyozifikela khona 😂
bafo all i can say is ngiyazwelana nabobonke abalaleli nabavota kodwa inkantolo uma isinqumile akukho esingakwenza kuke kumiswe umgcwabo ngenxa yenkantolo yobe bhuti ‍️,@ChiefMavovo Bafo all I can say is ngiyazwelana nabobonke abalaleli nabavota kodwa inkantolo uma isinqumile akukho esingakwenza. Kuke kumiswe umgcwabo ngenxa yenkantolo. Yobe bhuti 🙇🏻‍♀️,tweet_1213419249630359552,bafo all i can say is ngiyazwelana nabobonke abalaleli nabavota kodwa inkantolo uma isinqumile akukho esingakwenza kuke kumiswe umgcwabo ngenxa yenkantolo yobe bhuti 🙇🏻‍♀️
uhlezi kahle kodwa nduna,@_SaneleZulu Uhlezi kahle kodwa nduna 😂,tweet_1330411436015808513,uhlezi kahle kodwa nduna 😂
yey lusuke lubhaliwe yini uhlanya esphongweni ukuthi yilo,@Mcineka013Lethu @ThembaKaula Yey lusuke lubhaliwe yini uhlanya esphongweni ukuthi yilo😂,tweet_1246359149811769345,yey lusuke lubhaliwe yini uhlanya esphongweni ukuthi yilo😂
hayi ke ngoba sikhuluma ngojoshua nje lana,@ElihleGwala Hayi ke ngoba sikhuluma ngoJoshua 24:15 nje lana 😩🤣,tweet_1283302682732658689,hayi ke ngoba sikhuluma ngojoshua 2415 nje lana 😩🤣
mina ngiwumfana ngingakubopha aniyekeni ukuvuna i toxic behavior bakwethu,Mina ngiwumfana ngingakubopha aniyekeni ukuvuna I toxic behavior bakwethu 😫 https://t.co/DAL663QppP,tweet_1379043992038412289,mina ngiwumfana ngingakubopha aniyekeni ukuvuna i toxic behavior bakwethu 😫
mina alikho angiwafuni wonke,@MbaliK90 @allthingsgreyy Mina alikho 🤮 angiwafuni wonke,tweet_1518202672154914822,mina alikho 🤮 angiwafuni wonke
siyalazi ithole apho lifele khona,@AlexStemela @tzwide1 @tshidi_lee Siyalazi ithole apho lifele khona 🤝,tweet_1473043944690831365,siyalazi ithole apho lifele khona 🤝
mfethu amahloni nje efakelana wona ngisho uhleli nabantu endlini,"@BekithembaZ Mfethu, amahloni nje efakelana wona ngisho uhleli nabantu endlini 💔",tweet_1285666189834956802,mfethu amahloni nje efakelana wona ngisho uhleli nabantu endlini 💔
i know ngifuna ama rd kits for both teams manje wona ke ngathi ayabukisa,"@XabaSipheh ❤❤ I know, ngifuna ama 3rd kits for both teams manje. Wona ke ngathi ayabukisa",tweet_1323647724533809153,❤❤ i know ngifuna ama 3rd kits for both teams manje wona ke ngathi ayabukisa
kanye but kwangenicala after lesosgameko ngangizalwa uhlanya mina‍️,@MzweNgonyama Kanye but kwangenicala after lesosgameko ngangizalwa uhlanya mina🤦🏾‍♂️,tweet_1269697925661241346,kanye but kwangenicala after lesosgameko ngangizalwa uhlanya mina🤦🏾‍♂️
ngino years la akaze bangi hack‍️,"@MzamoMthobis_13 Ngino 10 years la, akaze bangi hack🤷🏾‍♂️",tweet_1502191356193685504,ngino 10 years la akaze bangi hack🤷🏾‍♂️
wena nje sisuka kude nawe noma ungekho lapho kodwa nje ungaze ungiblocke,@naSkosana_ @destinyzee Wena nje sisuka kude nawe noma ungekho lapho kodwa nje ❤❤🤗🙏🙏🙏👌👌 ungaze ungiblocke . 🤣🤣🤣🤣,tweet_1433140300856320003,wena nje sisuka kude nawe noma ungekho lapho kodwa nje ❤❤🤗🙏🙏🙏👌👌 ungaze ungiblocke 🤣🤣🤣🤣
mangethe wehla wadilika kumuntu wami,@ZwaneBhekifa @DrZweliMkhize Mangethe wehla wadilika kumuntu wami 🤣🤣🤣🤣🤣,tweet_1238015791292911616,mangethe wehla wadilika kumuntu wami 🤣🤣🤣🤣🤣
kodwa nino seningahlulwa ukungitholela le video ave ngiythanda,Kodwa @itsnkul_leko nino @uNhlaka_ seningahlulwa ukungitholela le video 😂😂😂😂😂😂😂😂😂😂😂 ave ngiythanda https://t.co/fX9exZsYuI,tweet_1327866768208121856,kodwa nino seningahlulwa ukungitholela le video 😂😂😂😂😂😂😂😂😂😂😂 ave ngiythanda
ye ye ye mina ngiyahlupha kanti u worse,@CozminoNtsomi Ye ye ye Mina ngiyahlupha 👀 kanti u worse,tweet_1327150882589462528,ye ye ye mina ngiyahlupha 👀 kanti u worse
ngizwa nje umathe la ngyabonga nkosazane,Ngizwa nje u-Mathe la... Ngyabonga nkosazane😊🙏 https://t.co/u3pEbKmg4D,tweet_1422665299443265538,ngizwa nje umathe la ngyabonga nkosazane😊🙏
uyishaya emuva naphambili wena mkhabela yazi kodwa were you not the one obuthi ufuna ipool ne patio when in durban to relax at when sisonke manje uphusha le agenda yaandile,"@Ntokozo_Dhlomo @ChefScott_ Uyishaya emuva naphambili wena Mkhabela yazi kodwa 😂, were you not the one obuthi ufuna ipool ne patio when in Durban to relax at when sisonke, manje uphusha le agenda yaAndile 😂.",tweet_1403047733750120449,uyishaya emuva naphambili wena mkhabela yazi kodwa 😂 were you not the one obuthi ufuna ipool ne patio when in durban to relax at when sisonke manje uphusha le agenda yaandile 😂
hawu lapho sithi siphethe wena iplug,@RealNomalanga @SandaEsse @rikyrickworld 😂😂Hawu lapho sithi siphethe wena iPlug @RealNomalanga,tweet_1219701648651620363,😂😂hawu lapho sithi siphethe wena iplug
im sure abantu abasebenza koultra nakotopz bathuke kanye nathi bebengazi,I'm sure abantu abasebenza koUltra nakoTopz bathuke kanye nathi bebengazi.. 🤣,tweet_1282387916556251137,im sure abantu abasebenza koultra nakotopz bathuke kanye nathi bebengazi 🤣
awu mfetu ngithathaphi imoto noma akasafuni ngeyakhe eyi ave nibukisa ngami kodwa,Awu mfetu ngiThathaphi imoto noMa akasaFuni ngeyakhe😪 eyi ave niBukisa ngami kodwa https://t.co/X2LmOLC5GB,tweet_1504555474112425987,awu mfetu ngithathaphi imoto noma akasafuni ngeyakhe😪 eyi ave nibukisa ngami kodwa
lol ai mina sengizoysokha ubusuku bonke,@Ziphozenkosi_ lol ai Mina sengizoysokha ubusuku bonke 😂,tweet_1458851362784133127,lol ai mina sengizoysokha ubusuku bonke 😂
angeke ngibhoreke ngikhona mina lemme enjoy good music and good wine,Angeke ngibhoreke Ngikhona mina lemme Enjoy good music and good wine🍷 https://t.co/DDPPxBQTbK,tweet_1419713209985077253,angeke ngibhoreke ngikhona mina lemme enjoy good music and good wine🍷
savelelwa izinyoka i knew siphila nazo vele la kwi tl but ukuzibona,Savelelwa izinyoka😭😭😭 i knew siphila nazo vele la kwi TL but ukuzibona 😭😭😭😭,tweet_1326083897306865664,savelelwa izinyoka😭😭😭 i knew siphila nazo vele la kwi tl but ukuzibona 😭😭😭😭
haibo keep shining lapho mama ️,"@Zeechiliza Haibo , keep shining lapho mama 🥺❤️",tweet_1321779772897316865,haibo keep shining lapho mama 🥺❤️
ungangibuzi mina kwathiwa asivote sothola izinto mahala sibambe elentulo,"@MkhuhMbulazi Ungangibuzi, Mina kwathiwa asivote 94 sothola izinto mahala sibambe elentulo🤣😂🤣",tweet_1526148363200118784,ungangibuzi mina kwathiwa asivote 94 sothola izinto mahala sibambe elentulo🤣😂🤣
eyi sekushiwo nje manje,Eyi sekushiwo nje manje 😂🤣 https://t.co/mBqSbOTwch,tweet_1255898963775021056,eyi sekushiwo nje manje 😂🤣
nazoke ngifisa ukubhalela ohlelweni ngizwe igama lami limenyezwa manje angaz noma ngibhala kahle yin la,"@ZuluBoyFriend Nazoke 👍, ngifisa ukubhalela ohlelweni ngizwe igama lami limenyezwa manje angaz noma ngibhala Kahle yin la?",tweet_1217320311470854144,nazoke 👍 ngifisa ukubhalela ohlelweni ngizwe igama lami limenyezwa manje angaz noma ngibhala kahle yin la
ijaji lalimnika isigwebo yena waliphendula wathi nami ngiyakugweba kulesosturo ohleli kuso ijaji lahlala esturweni for more than days lingakwazi ukusukumayey wayenomuthi loyamuntu izimfene ezavela e tv ejalidini ngenkathi eshonile,@Noluvuy07178170 @GezindabaZA Ijaji lalimnika isigwebo yena waliphendula wathi nami ngiyakugweba kulesosturo ohleli kuso. Ijaji lahlala esturweni for more than 3 days lingakwazi ukusukuma🤣yey wayenomuthi loyamuntu. Izimfene ezavela e TV ejalidini ngenkathi eshonile,tweet_1240226190545293314,ijaji lalimnika isigwebo yena waliphendula wathi nami ngiyakugweba kulesosturo ohleli kuso ijaji lahlala esturweni for more than 3 days lingakwazi ukusukuma🤣yey wayenomuthi loyamuntu izimfene ezavela e tv ejalidini ngenkathi eshonile
i am not against lesbiansbut sewngaze ungalali kini ngenxa nje yomunweumunwe pho,"I am not against lesbians,but sewngaze ungalali kini ngenxa nje yomunwe🖕,umunwe pho🙄 https://t.co/vGeSZItego",tweet_1288068232419713025,i am not against lesbiansbut sewngaze ungalali kini ngenxa nje yomunwe🖕umunwe pho🙄
unamangangigcine fun phela mina iphivideo letha ngibone,"@ThembaKaula Unamanga😂😂😂😂😂ngigcine fun Phela mina, iphivideo letha ngibone",tweet_1283127136518365185,unamanga😂😂😂😂😂ngigcine fun phela mina iphivideo letha ngibone
akadlanga ushevu kodwa isono esingaka mhlampe wakhala nje kodwa isihluku esingaka,@SphaNR Akadlanga ushevu kodwa isono esingaka mhlampe wakhala nje 😭😭😭 kodwa isihluku esingaka,tweet_1291824616659394561,akadlanga ushevu kodwa isono esingaka mhlampe wakhala nje 😭😭😭 kodwa isihluku esingaka
we brazo kade ngimbona lomuntu wakho ekhuluma nalomjita wangale ngiyo mposta same time ngith my fohloza my thululu isinqa sika shuni we ngani yakwethu silwa nama dimoni ahlukanisa abantu,"""We brazo kade ngimbona lomuntu wakho ekhuluma nalomjita wangale"" 👏👏ngiyo mposta same time ngith my fohloza 😊my thululu ..Isinqa sika shuni we ngani yakwethu silwa nama dimoni ahlukanisa abantu!!🔥🔥 https://t.co/oqTe2FrFFc",tweet_1254820187762831362,we brazo kade ngimbona lomuntu wakho ekhuluma nalomjita wangale 👏👏ngiyo mposta same time ngith my fohloza 😊my thululu isinqa sika shuni we ngani yakwethu silwa nama dimoni ahlukanisa abantu🔥🔥
yazi ukubona abantu besizakala bazenza engathi bona bahle njengobeyonce,@Kulture_Kwest Yazi ukubona abantu besizakala 🥺 bazenza engathi bona bahle njengoBeyonce,tweet_1313558416544194561,yazi ukubona abantu besizakala 🥺 bazenza engathi bona bahle njengobeyonce
gents akhathele ndlela yonke,Gents akhathele ndlela yonke 😂😂,tweet_1339034939417899010,gents akhathele ndlela yonke 😂😂
i believe you mina ngoba eskoleni sami kwakuke kungene imbuzi eclassin sisafunda,@Siphasithebe I believe you mina ngoba eskoleni sami kwakuke kungene imbuzi eclassin sisafunda 😭,tweet_1470621175135023106,i believe you mina ngoba eskoleni sami kwakuke kungene imbuzi eclassin sisafunda 😭
wayimosha ingxoxo yethu ai awumlethe la ngimdabule ngolabhabha wempama lo mjita okhona cz uyathithiza ‍‍‍‍‍‍,@Ziphozamambo Wayimosha ingxoxo yethu ai.... Awumlethe la ngimdabule ngolabhabha wempama lo mjita okhona cz uyathithiza. 🏃‍♂🏃‍♂🏃‍♂🏃‍♂🏃‍♂🏃‍♂,tweet_1512677609813024768,wayimosha ingxoxo yethu ai awumlethe la ngimdabule ngolabhabha wempama lo mjita okhona cz uyathithiza 🏃‍♂🏃‍♂🏃‍♂🏃‍♂🏃‍♂🏃‍♂
