text_after_cleaning,text,tweet_id
game yi chayini hidyiwin marha hiya yimela portugal a airport boys minga worry,"Game yi chayini, hidyiwin marha hiya yimela Portugal a airport boys minga worry https://t.co/YDHTegGtVD",1013290059238445056
hay a tshwi nyana hi dyambu,Hay a tshwi nyana hi dyambu https://t.co/pCWWE86h9x,808648516260270080
wo hlamba hi masi,@Chayezaa Wo hlamba hi masi,1506891095858454529
ni tsundzuka loaf ra sasko sam akuri r ka mayibuye haa kgana bread was once r,"Ni tsundzuka loaf ra sasko Sam akuri R2.50 Ka mayibuye #Giyani ""@Tsacarney_Kay: Haa Kgana bread was once R4""",439882768215191552
hinwa juice ya hosi yeso i khisimusi namuntlha,@NsovoE Hinwa juice ya Hosi Yeso I khisimusi namuntlha,1342375144510119937
lol party ya nwana senzo,@candynkateko lol party ya nwana senzo,421346260931842048
ku tika yini hita swirhwala,Ku tika yini hita swirhwala? https://t.co/fk2hkfti4F,946068641262469121
phalaborwa na ku khensa,Phalaborwa na ku khensa,547680997664632832
loko kuriku kahata defender dodi leyi ya namuntlha xikoro xa saturday xita tsakisaani voni munhu wo maka du preez na dolly lhayaonyango ani xihlayi ka vatlangi luya wo geza hi milenge tito na kunene,"Loko kuriku kahata defender dodi leyi ya namuntlha, xikoro xa Saturday xita tsakisa..ani voni munhu wo maka Du Preez na Dolly lhaya.Onyango ani xihlayi ka vatlangi, luya wo geza hi milenge tito na kunene",1557449264418234368
hayi mara gabuza vakahina niri ka makoxa,@RasNyiko hayi mara gabuza vakahina niri ka makoxa,1034508603162615809
awu swi lavi ku ni koka uni humesa,Awu swi lavi ku ni koka uni humesa😂😂😂 https://t.co/BMHSIOYvY1,653242744555597825
ani hina wa tindzimi ta la mzansi meaning nginga khuluma noma yini language lol,@tela_v ani hina 11 wa tindzimi ta la mzansi... Meaning nginga khuluma noma yini language lol,393619188788785152
lol hi kwini la,@SirMaiton Lol hi kwini la,1206152032140349441
nlava ku xava ni hambana na swona for a very long while,@Baritone_M Nlava ku xava ni hambana na swona for a very long while.,917749755454935040
what rt nilava ku tswantswa munhu sweswe,👀 what? RT @x3ism: Nilava ku tswantswa munhu sweswe,485160338246352896
vanhu vale giyani va rila hi vanhu va gauteng lava fambaka hi tomovha ta tinumber plate ta gp vari mi overtake kwala na kwala mi nghena kwala na kwala mi yima kwala na kwala ma gp hi kombela mi driver kahle maxaka ya hina ya rila hi nwina,Vanhu vale Giyani va rila hi vanhu va Gauteng lava fambaka hi tomovha ta tinumber plate ta GP. Vari mi overtake kwala na kwala. Mi nghena kwala na kwala. Mi yima kwala na Kwala. Ma GP hi kombela mi driver kahle. Maxaka ya hina ya rila hi n'wina.,1473660037172183043
kasi problem ya wena iyini,@hlulani_zakeya Kasi problem ya wena iyini?,1247440398345273345
eya vata ni hlupha,"@Nyiko84656838 Eya, vata Ni hlupha",1247124200357343234
breaking news xipano xa kaizer chiefs mbeyetela orlando rats hi bolo yinwe eka tandza hi voice ya wisani manganyi ka mlfm,"Breaking news: Xipano xa Kaizer Chiefs mbeyetela Orlando Rats hi bolo yin'we eka tandza,,, hi voice ya Wisani Manganyi ka MLFM",445427656650391553
miri hi chilla rini,@ZainahJag01 @ThembaReload miri hi chilla rini?,677532734852567040
loko hi vula va ri hi huma etimhakeni ta vona,@NtwanieMapengo Loko hi vula va ri hi huma etimhakeni ta vona,1478386425112498179
lol mara crus ani vula oomf wa nhonyan lol,@Nyiko_S lol mara crus ani vula oomf wa nhonyan lol,489134507879325696
u yini ka baby xeeeee,"U yini Ka baby? ""@sangwadi2: @thefakevongan xeeeee""",408164786527289344
ivi ku nandzika muntini,Ivi ku nandzika muntini 😩🥺 https://t.co/aNFprXDaGk,1482397855729995783
u twa ku xurha,@Tea_Bee15 U twa ku xurha,1124576909118066688
lol haa ahilo oma tinhloko just imagine uri wansati u byele a guy kuri wanwi rhandza aku yena angaku rhandzi yoooh ningafa futhe loko o nina nsati nitwa ongeti swi better,@Yo_Boi_Bujwa Lol haa ahilo oma tinhloko just imagine uri wansati u byele a guy kuri wanwi rhandza aku yena angaku rhandzi. Yoooh ningafa😅😅😅 futhe loko o nina nsati nitwa ongeti swi better,1486407940101873673
lol nigga youll be surprised ukuma ku xi jola kunya,@HilarioussDude Lol Nigga ? You'll be surprised ukuma ku XI jola kunya...,426719239127695360
ya suka mundzuku hi,Ya suka mundzuku hi 15:30 http://t.co/fN27X4fZg7,444362116590755840
khisimusi ri endleliwa nyimpfi these days target ntak kuma hi xmas lol eeh tinyimpi khisimusi ro tani,"Khisimusi ri endleliwa nyimpfi these days, target - ntak Kuma hi xmas ""@pumpfa: Lol""@MosleyR13: Eeh tinyimpi Khisimusi ro tani??? @pumpfa""""",415653765585596416
lol ndi nnyi atshe na fact file ya high school,Lol ndi nnyi atshe na fact file ya high school http://myloc.me/lMvof,92460743483592704
i have a female dog awu lavi ku susisa leya wena munyu,"@Dobbelina I have a female dog, awu lavi ku susisa leya wena munyu?",1511458750430859268
happy birthday maxaka yaka hina,@mbhoni_muriel happy birthday maxaka yaka hina,893150421086240768
nitaku vona soon makwavo,@OfficialVeli 🤣🤣. Nitaku vona soon Makwavo,1209917312071020544
nga zwine nda kho vhoniswa,@Mabithav nga zwine nda kho vhoniswa,390418145460371456
na misava ya munhu wa mina wa le nyagelani swi nge lunghi,Na misava ya munhu wa mina wa le Nyagelani swi nge lunghi https://t.co/L58fDfNCEl,1405505927181185030
lol swiloswi vona ku swoya xi hand hand swita hlupha,@glenrikhotso Lol swiloswi vona ku swoya xi hand hand swita hlupha,347507548766756864
lol kutala ka vona haa and va single wativa,@Ernie75947584 @MissMathebulaC Lol kutala ka vona haa and va single wativa 😂😂,1444745058394247169
lmfao my mom ve ni vitaniwa hi xinangani,"Lmfao, My mom ve ni vitaniwa hi xinangani.... #Dies.",281114859544932352
ntiyiso walowo shem and hinkwenu haswi lava ku experience vukati hahari ntsongo,@Humana37968243 Ntiyiso walowo shem and hinkwenu haswi lava ku experience vukati hahari ntsongo,1501285321715044352
ni tlhela ni famba,@Doneology Ni tlhela ni famba,1465747428037038082
yoh i thot u g bk ka jan,@tshepomzuks yoh I thot u g bk ka jan,282037610141077504
lmao wo ni hlamba tintiho,Lmao wo ni hlamba tintiho 😂😂😂 https://t.co/PWqVgHe9ub,945983154703265793
iri munhu xidakwa xirhasela va makhelwani nyana,Iri munhu xidakwa xirhasela va makhelwani nyana. https://t.co/oPHEzH2tfi,1484573176927502337
lol see why niku wa nyanyuka,@Nyikoeugene Lol see why niku wa nyanyuka,1458750465320136706
lol vhele u boheka ku hlamula ll an bhekaand dyina watsapp ll u watsappiwa hi nkanu ka scotch,"Lol vhele2 u boheka ku hlamula ""@HilarioussDude: @thefakevongan l0l an0 b0heka..and dyina watsapp l0l u watsappiwa hi nkanu ka scotch""",428864234114797568
kuna yiti yimelela blind mara va nkuna nava tshemba,@MarksNkuna Kuna yiti yimelela blind. Mara va Nkuna nava tshemba https://t.co/2mm2JLlKfO,1461650028406128643
a hi navela kambe ku hele nkarhi,@papakhavi @ReginahMhaule @DBE_SA A hi navela kambe ku hele nkarhi.,1273301656487309317
like realintlaaaaa tsekdu me a favour unan hlamul mduk lol kas waswtiva ku wan nyangatsa,@akela_ndobe like reali?ntlaaaaa tseK!du me a favouR unan hlamul mduk lol kas waswtiva ku wan nyangatsa,384632376250613760
o vha a khou lima tsimu ya vho nyamukamadi vhusiku hothe,@Tsiko_Tee O vha a khou lima tsimu ya vho Nyamukamadi vhusiku hothe.,426246725809209344
a niswi lava ku siya contact marha hi kuya hiri comments leti niti vonaku a naha siyi,A niswi lava ku siya contact marha hi kuya hiri comments leti niti vonaku a naha siyi 🤔🙄💡😩 https://t.co/42KGVmHSpV,1532646864662712324
tv ya nwina mongezi yoka yinga tirhi,TV ya n'wina Mongezi yoka yinga tirhi🙄 https://t.co/U8QWDa1IbS,1477731660078714882
ndzi hu dze hi kona na,@gabrielhlungwa1 @Fofoza_Junior 🤣 🤣 🤣 NDzi hu dze hi kona na,1335525133134548992
hi ti phinile ka gingirikani,@GingirikaniMLFM @lindivamac hi ti phinile ka gingirikani,1049598513103994880
ni mi khoma kahle vahaxi nir kwala ka nkuri ka tomu,@326Thwii @NwaNyango @quintonizer @BongiWil ni mi khoma kahle vahaxi nir kwala ka Nkuri ka Tomu #326Thwii,1250050082185129985
eish ni chuluka kunya,Eish ni chuluka kunya...,410794762195984384
uya vhuya wa penga nga mishimo heyi im off,Uya vhuya wa penga nga mishimo heyi I'm Off,423788152126713856
meme leyi neh inkomu he makhubele,@ThandoMankhense @KhanyisaThwala Meme leyi neh 🤣🤣🤣🤣 Inkomu he Makhubele,950697971389206528
aka jealousyits a bang nehlo vhuya nga hu hulu,AKA jealousy..........its a bang neh........lo vhuya nga hu hulu......... http://t.co/vKv5KkRW,231088222954983430
niri rambe ni renge na khaisi ja ice cold amstel na ng beg,@Makhuba2 Niri rambe ni renge na khaisi ja ice cold Amstel na #Weed ng beg,265001484385660930
im so angry kas vanitwa yini va sathani lava heeh,I'm so angry kas vanitwa yini va sathani lava heeh http://t.co/HWTcPb7u,235110048358088704
ku na xitumbelelani laaa,Ku na xitumbelelani laaa,584475936269193217
jolani a hi mi arisi,Jolani a hi mi arisi 😂😂 https://t.co/fTE2rfNMnk,1234376447642435590
hi pfu vhuloyi vhu hulwane kha muswa ndi musi ni sa pfi vhabebi vhanu obey your parentsyoung men and young lady,Hi pfu vhuloyi vhu hulwane kha muswa ndi musi ni sa pfi! Vha-Bebi vhanu. Obey your parents....young men and young lady...,420275903877623808
unga wutwa hi vavanuna va machangani aowa,Unga wutwa hi vavanuna va machangani aowa https://t.co/3XDpLgwBW6,1037058369801138176
ninga thotha ku penga,Ninga thotha ku penga😋 https://t.co/N00WNBdXdf,1214848577392037889
wativa ni khensile nwana mama ti all bran ti endla difference yinwan yikulu ngopfu,"Wativa ni khensile nwana mama @Baritone_M , ti all bran ti endla difference yinwan yikulu ngopfu 💛",822309229939724288
hayi hi kombela mi tlhelela vanhu vaka malamulele hinga yi nyika va boti mfana vale nkowankowa,"@sana_zero1 Hayi hi kombela mi tlhelela vanhu vaka Malamulele, hinga yi nyika va boti mfana vale Nkowankowa.🤭🤭🤭",1252991064186728450
hiloko adya ati cheletela atlhe ati sula nomo hi voko swiya tlhelo atalwini wa vanhu vahaxe,@mphesamphesa #topic hiloko adya ati cheletela atlhe ati sula nomo hi voko swiya tlhelo atalwini wa vanhu vahaxe,518048290634747904
ahi famba hita swi vona kwale,@mafokolemmy @ZethuANkosi Ahi famba 😂😜Hita swi vona kwale..,1294162162869587968
lol haa va onhini mfophela swileswi buriwaku wa swivona ku se kuna ra ntshava xikarhi,Lol haa va onhini mfo..phela swileswi buriwaku wa swivona ku se kuna ra ntshava xikarhi https://t.co/RAF4UaZkdI,1052451401606057984
amiri hi ghenela nahina,Amiri hi ghenela nahina 🤣🤣 #FineTsongaMen https://t.co/tjBDhwGzrb,992173327077781504
antivi ku u hlometela u lava yini,@Tea_Bee15 😂😂😂 Antivi ku u hlometela u lava yini,1158393204456198144
lol hu tou vha uri hiphop ya mzansi standard chi fhasi blind,@KOOLEST_VEE lol hu tou vha uri Hiphop ya Mzansi standard chi fhasi blind,398577096483950592
mina ni fela ku tshama ti e ni khapeni a ti a ka ️,Mina ni fela ku tshama ti E😭😭😭. Ni khapeni a ti A ka ☹️,1275056740191440896
nikombela mini navelela siku raku velekiwa ka mina hlavutelo israel mabasa kusuka ka mtititi altein,@phaphamamlfm nikombela mini navelela siku raku velekiwa ka mina Hlavutelo Israel Mabasa kusuka ka Mtititi Altein,1310353305382670336
so ulo yiva swakudya swa wena or,So @NkanyeziKubheka ulo yiva swakudya swa wena or? https://t.co/hPcRYJFJdx,1211243271537807360
se ulava ku guga uri one,@WabungeniM Se ulava ku guga uri one?🤔,1484217458852605961
ya u la wo fhumula a i difhi zwi difha vhoiwe no talelari nayo na rinemara arikho rasa,"""@PHAMUWA: @Mixyful @MartieSilimela, Ya u la wo fhumula a I difhi... Zwi difha vhoiwe no talela...""Ri nayo na rine,mara arikho rasa",279126444020494336
lol ai kuva tukulu wa sangomaaa ta vuya mara ai niya cela mi mirhi nw lol munhu u dyondza swotala,RT @zaviegul: Lol ai kuva tukulu wa sangomaaa ta vuya mara ai niya cela mi mirhi nw lol munhu u dyondza swotala http://t.co/TZm5pajjCS,420804811962200064
geee hita ponakii loko kungari misisi i lipstick hi finee,Geee . Hita ponakii . loko Kungari misisi I Lipstick 😦😦 Hi finee https://t.co/DKRsXzvfVM,773575499574571009
halo uswi hlaya vutsonga phela u lava ku tani tima nee halo u,"""@NickyMab: Halo (uswi hlaya vutsonga phela) @KuuliSoul"" u lava ku tani tima nee, Halo 2 u 2",277162369795375104
ahehe shabba ahehe ndi worst season ya vhana vhashu kcfc,@ashifashabba :Ahehe Shabba ahehe ndi worst season ya vhana vhashu KCFC.,706945805140287488
wenooo futhe hi vona mihlolo,@Humana37968243 😅😅😅 wenooo futhe hi vona mihlolo,1497160888834347009
a hi dyeni vuswa bya mavele i can cook,A hi dyeni vuswa bya mavele I can cook #exitangeni #Tsonga https://t.co/GNdPN139Mn,1413098148420104195
hitaku yini minga humelela ku antswa‍️,“Hitaku yini minga humelela ku antswa”🤦‍♂️ https://t.co/V1vCOgt1US,1510659886027358210
maxaka ahi hlayiseni mati milambu yi omile kuhava mati,maxaka ahi hlayiseni mati milambu yi omile kuhava mati,699126631911264256
vavanuna hi phofula kwi loko timhaka tihi tate swifuva,Vavanuna hi phofula kwi loko timhaka tihi tate swifuva?,1458179084064800775
ndzi tsundzuxe rirhandzu ra wena mixo wunwana ni wunwana hikuva eka wena ndzi hlayisekile pisalema,"Ndzi tsundzuxe rirhandzu ra wena mixo wun'wana ni wun'wana, hikuva eka wena ndzi hlayisekile. (Pisalema 143:8)",1430781735873220609
emberskho thoma duvha langa nga dinga heli,#NP @owlcity-embers...kho thoma duvha langa nga dinga heli,276899890343313408
hahaha lol hita dlaya hiti saladi na tende ra ross rikha ri baa hi mya kukha ku biwa huwa tenden,"Hahaha ""@HilarioussDude: @thefakevongan lol hita dlaya hiti saladi na tende ra ross!! Rikha ri baa hi m0ya! Kukha ku biwa huwa tenden""",428847036927328256
lol out of awu dlaya ku fika kwihi wena lol chisapama axi vekela high score ka strt frighter,"Lol out of 10, awu dlaya ku fika kwihi wena ? ""@AmuBlaze: @TheFakeVongan Lol chisa-pama axi vekela high score ka strt frighter""",432090728911884288
kuyiva ka laya jhiii,Kuyiva ka laya jhiii https://t.co/dYVobAucY6,1035503457598357504
ani le ku tshembeni ku hi mina i feel like m bewitched,@Porschea_M Ani le ku tshembeni ku hi mina. I feel like m bewitched,1470977461110382596
ninkombela mali vana va mhani mitathle miku we dont open up,Ninkombela mali vana va mhani🥺😕 Mitathle miku we dont open up😪🥴,1499739966313836547
yi ya ku ringana na rt nkombela dangara,Yi ya ku ringana na ? RT @LuluBelle082: @Ursula_Joy nkombela dangara,480290175080476672
ivi i penga naswi tiva mi rhanda ngo swilo msniekky swi fela ku cheapa,"Ivi I penga ""@Msniekky22: Naswi tiva ""@Kingzzley: Mi rhanda ngo swilo ""Msniekky22: Swi fela ku cheapa!",492070216185438208
hayi hansahansa leyi hi hlanganaku na yona,@BekaziMongwe Hayi hansahansa leyi hi hlanganaku na yona😂😂😂,1165560498013839360
hite app leyi yi lava u tiyini miku ahi kahle,Hite App leyi yi lava u tiyini miku ahi kahle 🤣😂🤣😂🤣😂🤣🤣😂 https://t.co/XjJcuHS0ot,1467052427413237760
eish fam kubi entlek se nciza ko fane ku va standard,@TheWisaniGuy Eish fam 😞 kubi entlek se nciza ko fane ku va standard,1384242901845086210
ku laveka luwi he mama,@ziggy_diver Ku laveka Luwi he mama....,1328697385485266950
benny a xichavi munhu xi va byela thwiiiiii,Benny a Xichavi munhu..... Xi va byela Thwiiiiii,1448271590622482440
yep ndi makhuvha stadium hetsho ha ya ha makhuvha cricket pitch yo itwa lini,"Yep, ndi Makhuvha Stadium hetsho""@mtshivhase: Ha? @willeinstein Ya ha Makhuvha cricket pitch yo itwa lini?"" http://t.co/WZhtf4FPFW""""",434658621423484928
huwa ku hava nwina,@Munchies9 huwa ku hava nwina,422651695718760448
buti mec avana mhaka na hina hina votirha eti moxareni bcz ku fika namuntlha ahisi vaccinatiwa yraelity iku hi directly exposed dead bodies dt r highly infectious so ds me exploitation,@Mathebuladp Buti mec avana mhaka na hina hina votirha eti moxareni bcz ku fika namuntlha ahisi vaccinatiwa y?raelity iku hi directly exposed 2 dead bodies dt r highly infectious so ds 2me exploitation!,1413787668920643584
na mina ni ta tsaka siku rinwani,Na mina ni ta tsaka siku rinwani🙏🏽🙂,1259643613853745156
u nga swi vuli ko bhengula koko,@mandlamZA U nga swi vuli - ko bhengula koko...,418437939153346560
last week nga mugivhela ndori ndi khou fhira khubvi nda wana zwinwe zwisidzana zwi khou khisana badani,Last week nga mugivhela ndori ndi khou fhira khubvi nda wana zwinwe zwisidzana zwi khou khisana badani,413027700035825665
start paying up a ka ha ri na lexi vafana lava va nga ta xi endla,Start paying up😂😂😂 a ka ha ri na lexi vafana lava va nga ta xi endla https://t.co/O273aaQDWx,1149046776206430208
aku na ku budget loko va uvhakini lava swi bha bayizani swiri two,"@rudolphziggy1 Aku na Ku budget loko va uvhakini lava, swi bha bayizani swiri two 🤒🤒🤒😭😭😭😭",1057578591427481600
ntaku byela ka whatsapp,@Chucks11160520 Ntaku byela ka WhatsApp,1481542319342080002
short hair yi hatla yi dina,Short hair yi hatla yi dina😩,1291074682427445248
so genge leyi ya march i ti products ta xirhami vhele nice losos voice,So genge leyi ya March I ti products ta xirhami vhele ? Nice...! *Loso's Voice*,440725281079574528
hay swafana limpompo o limpopo still ka hisa,@RisunaCha hay swafana limpompo o limpopo still ka hisa,402001999438573568
he mzi ku kala na xikanda nyana xa le giyania yi rhanganyeketi,@Baritone_M He mzi ku kala na xikanda nyana xa le Giyani😂a yi rhanganyeketi😂,817603101540679680
uyanya uyeezy kanye wa phapha rt kanye is annoying now,"Uyanya uYeezy ""@TROUBLE_DESIGNA: Kanye wa phapha RT @FollowPrim: Kanye is annoying now http://t.co/KBkJgWYCTh""",409251077633347584
bulusela xitsonga ka isibaya u nga xi tweli vusiwana xitsonga lexi,@MotopiSelekaJr @Aysap_ @IsibayaMzansi Bulusela Xitsonga ka isibaya u nga Xi tweli vusiwana xitsonga lexi,1022724015268540416
hi tweeter na mavondlo la swihlangi swa ka matric ewu ‍️‍️,Hi tweeter na mavondlo la! Swihlangi swa ka matric! Ewu 🙆🏽‍♀️🙆🏽‍♀️,1081013080572809225
kokwani va karhele hi vuswa,@Ms_Mahange Kokwani va karhele hi vuswa 😭,1276032878250528768
naswilava ku huma mara mbilu yilava vona lavaya vaku hurtana,@queenposh21 Naswilava ku huma mara mbilu yilava vona lavaya vaku hurtana😭😂,1533885153969377280
hala i psyfo hala i angela ku kuleka ka tv saw dyisa,Hala I Psyfo Hala I Angela ku kuleka ka tv saw dyisa,408672115710521344
will smith wa penga mah nga mini naalol am just watchin,"""@vjostus: ""@NerdWithAtitude: Will smith wa penga mah"" Nga Mini naa!!""lol am just watchin #FreshPrinceOfBelAir",362478225936482304
ka mhe na weh ku penga mani,@BarbronClint @SwitSanie27 Ka mhe na weh ku penga mani ?? https://t.co/bBoysehqRs,827962146625568770
dnt even start ni do zwi vhona nga january uri no ntsha straight mara athi ni na dzi bonus,@Immaculateg1 dn't even start ni do zwi vhona nga january uri no ntsha straight mara athi ni na dzi bonus,274765378868088833
se president va ya tlula rito ra mufi,@EMaposho @molwantwa_sambo Se President va ya tlula rito ra mufi?,1448274284573569031
lol kwini na hi koho,"Lol kwini na, hi koho @izzy_wizzy93",595129522191790080
golie livhuwani musadzi wa nne,"""@SukuOmuhleLivhu: @Chedza_shazabe1 _ gOlie"" livhuwani musadzi wa nne",222333123852124160
tanana wa hina la anga amatilwenivito ra wena ari hlawleke nkombela ku pfuniwa kuya nahlweni,Tanana wa hina la anga amatilweni..vito Ra wena ari hlawleke.....😇 nkombela ku pfuniwa kuya nahlweni,464645636156325890
mina naya a swina mhaka ku u hlwele ku ni byela kumbe jhani ntsena a ni byerile ku suka kwala ka mkhomi,@GingirikaniMLFM mina naya a swina mhaka ku u hlwele ku ni byela kumbe jhani ntsena a ni byerile... @NwaNyango ku suka kwala ka Mkhomi,417577419625996288
colbert mukwevho ari ni cou fhufhesa ntha vhuelani fhasi,"Colbert mukwevho ari ""ni cou fhufhesa ntha vhuelani fhasi☹)",353639267970449408
mheee a nina xona stress wani vona ni tsake njani,@TreasureVukosi Mheee a Nina Xona stress wani vona ni tsake njani 😂😂😂😂😂😂😂 https://t.co/qU2ksB3nK2,1496412428439105536
todae is of december and i knw kuri ntanghena ka hixitayela gudbye,Todae is 31 of December 2012 and I knw kuri ntanghena ka 2013 hixitayela. Gudbye 2012.,285538141782290433
leyi team ayi tshikiwi i khale hikha hi zama,"@MandlaJivindava Leyi team ayi tshikiwi, i khale hikha hi zama🤣🤣🤣",1521137863466917889
ri le ku hembeni,@NkatekoB2 Ri le ku hembeni😂😂😂😂😂😂,1475452108623208448
loko anilo swi tiva anitata njan ka nwina,@Msniekky22 loko anilo swi tiva anitata njan ka nwina,553473695390633986
lol man coffee n kent ya china wau ita zwifio,@LMarchey lol man. Coffee n kent ya. China wau ita zwifio,371373631164932096
ni kuma na vavasati vati fake ni kuma minkumba se yi tole phondzo we u huza,"Ni Kuma na vavasati Vati fake, ni Kuma minkumba se yi tole phondzo... We u huza.!",445091753637720064
vata cinca aswilavi hi give up,@MissMathebulaC Vata cinca aswilavi hi give up 🤣🤣🤣,1549727492222566400
yaloye bot alava kudlaya mhani tsemisa loko nilangute ti video clips leti ta chavisa kuba waxisati hindlela ya tihanyi aswikhomeki apfaleriwi,@Africamunghana yaloye bot @Sydney_Baloyi alava kudlaya mhani tsemisa loko nilangute ti video clips leti ta chavisa kuba waxisati hindlela ya tihanyi aswikhomeki apfaleriwi #terry-,1044535913097891841
lol dat truck yini hleketisa malume phashasha yi kha yi bamba kweeeee,@phaphamamlfm. Lol dat truck yini hleketisa malume phashasha yi kha yi bamba kweeeee,245775075436027904
advert ya nandos ya mpolaya,Advert ya Nandos ya mpolaya☺,448862618875621376
lol xilava all i minkarhi ya xna nwwinter,@XbalinG Lol xilava all I minkarhi ya xna nw!*Winter*,347603069921525761
khale ka rini chief was any dudula before,@TebohoThebehadi @VMathonsiG @Sinawo_Thambo Khale ka Rini chief? Was any dudula before??,1507351949695459328
nilo dakwa kumbe vapfale beer hi aircon ‍️,Nilo dakwa kumbe vapfale beer hi aircon? 🤔🙆🏽‍♂️ https://t.co/GgAAiPioaE,1543236673731006464
na haningeo ivhe swondaha yavhudi ya u thoma kha nwaha rt happy sunday yall,Na haningeo ivhe swondaha yavhudi ya u thoma kha nwaha RT @MsTebogo_M: Happy sunday y'all.,287788989279264768
wayi tiva nomzamo ya benni mayengani loyi,Wayi tiva Nomzamo ya Benni Mayengani loyi? https://t.co/i02DFXtW5V,1118475490136928257
lol mara wena achuzwa shala jwang mara,"@Fingas_Raphadu1 lol mara wena achuz,wa shala jwang mara?",329684730016587776
kasi ti tsonga men leti ku va ku ri ta le kwini,Kasi ti Tsonga men leti ku va ku ri ta le kwini? https://t.co/9xmjFzVqY6,1265604814639112193
anisw lavi lol tsala kunene kam u tshka ku tonga,"Anisw lavi""@MfaneloShilenge: @muhluri_minyuku @macebeleroxley lol tsala kunene kam u tshka ku tonga""",373129488730947585
amen hi swinwe he ku suka la giyani,"@ManingiWaNtamu Amen, hi swinwe he @ManingiWaNtamu ku suka la Giyani @Munghana",1317705615146422272
ya va zame ku ti pfala,@OfficialMagigi @GiftMafemani Ya va zame ku ti pfala,1476850145211867140
mina niti vona munhu woti lunghela vahaxi and vatirha a joni ka feme yinwani ava tekangi vahari ka laveni vahuma hala tzaneen is my firstime on twitter but i always listen to ur show,"@phaphamamlfm Mina niti vona munhu woti lunghela vahaxi and vatirha a joni ka feme yinwani. Ava tekangi vahari ka laveni, vahuma hala tzaneen. Is my firstime on Twitter but I always listen to ur show..",1257533834595270656
xiri xi ta nyenga xi ta ni khomisa rhaku tjewena nah,Xiri xi ta nyenga xi ta ni khomisa rhaku! Tjewena nah... https://t.co/alZQLwZCv7,849339186104676352
kha tsitse mafhafhu fhasi nwana wa mkalaha,@KOOLEST_VEE kha tsitse mafhafhu fhasi nwana wa mkalaha,353875275764875264
ivi vaka hina vapfumela,Ivi Vaka hina vapfumela. 🙂 https://t.co/86hD4Xf6pp,1147801723249057792
